id,label,gender,profession,ideology_binary,ideology_multiclass,tweet
15649,@user152,male,journalist,left,left,Requisitos para donar:. - Personas que no tengan síntomas respiratorios. - Que no hayan estado en contacto con afectados por el coronavirus. - Que no hayan viajado fuera de Canarias en los últimos 14 días. - Buen estado de salud. - Tener entre 18 y 65 años. - Pesar más de 50 kg
46496,@user105,male,politician,left,moderate_left,"El Ingreso Mínimo Vital aprobado hoy debe mucho a personas como @user y @user. Este artículo de hace unos años muestra cómo se diseñó e incorporó al programa del @user. Ahora es aprobado por un gobierno progresista, y lleva el sello socialista en su adn. @user"
32178,@user155,male,politician,right,moderate_right,"Se cumplen tres años de los atentados yihadistas que segaron la vida de 16 personas y dejaron más de 100 heridos en Cataluña. . Hoy, los demócratas recordamos a las víctimas, arropamos a sus familias y nos unimos en la convicción de que la libertad es más fuerte que el miedo 🖤🇪🇸"
33591,@user264,female,politician,right,moderate_right,"Yo decido estudiar en castellano y no puedo. . Yo decido que mi equipo @user deje de alimentar el odio y no puedo. Yo decido compartir por las calles mi orgullo patriota y no puedo. Sólo el 16,9 % de los vascos quiere romper con España pero ELLOS deciden. #BasquesDecide"
10824,@user110,female,politician,left,moderate_left,Tuve ocasión de conocer a Moise y a su esposa. Buena gente luchando contra las mafias y la pobreza que asola el país. Lo siento mucho😢. #HaitíChéri
39818,@user202,male,politician,right,moderate_right,"Hoy la flota de arrastre de todo el Mediterráneo amarra sus barcos como protesta por el Plan Plurianual del Mediterráneo y la falta de apoyo por parte del Gobierno. Estaré con ellos, como siempre, dándoles todo mi apoyo a partir de la 10h. en el puerto pesquero de La Vila Joiosa."
23640,@user155,male,politician,right,moderate_right,El Gobierno ha vetado hoy la tramitación de una enmienda de [POLITICAL_PARTY] que buscaba bajar el IVA de las mascarillas a solo 4%. . Argumentan que costará mucho al Estado basándose en un cálculo de 50 millones de mascarillas por día. Del bolsillo de la clase media y trabajadora no dicen nada.
10749,@user425,male,politician,right,moderate_right,"Hemos hablado de los premios #MTVEMA Bilbao 2018, del #BilbaoBBKLive, de las grandes actuaciones en San Mamés, de la ABAO, BOS…eventos que nos ponen en el panorama internacional de la buena música y la cultura con su repercusión como motor económico en #Bilbao @user"
36299,@user110,female,politician,left,moderate_left,"@user está presentando en rueda de prensa los datos de su informe sobre huérfanos de la violencia de género del #FondodeBecasSoledadCazorla. Enhorabuena por todo lo hecho y adelante con lo que queda, que es mucho!"
46599,@user157,female,politician,right,moderate_right,Moción ⁦@user⁩ basada en la necesidad d reforzar nuestro sistema sanitario desde la voluntad d servir mejor a los españoles. Hoy escenificamos un gran paso q llevamos días trabajando. El Senado allana el camino a un pacto de Estado en Sanidad.
30969,@user287,female,politician,left,moderate_left,Si todas y todos queremos Podemos. Tenemos un gran reto colectivo que afrontar con responsabilidad y compromiso porque . #ESPAÑApuede
14602,@user429,female,politician,right,moderate_right,[POLITICAL_PARTY] y [POLITICAL_PARTY] despiden la legislatura tapándose las vergüenzas e intentando ocultar el saqueo de los políticos que provocó la quiebra de las cajas de ahorro. Las triquiñuelas del bipartidismo siempre vuelven pero ya no cuelan.Por eso abriremos una nueva etapa de regeneración el 28A🗳
23043,@user24,female,politician,right,right,"Me gustaría que Pedro Sánchez mirara esta foto y se imaginara, por un momento, qué pensarían estas víctimas de su propio partido, sobre su “foto de familia” con [POLITICAL_PARTY]."
8325,@user76,female,politician,right,moderate_right,"Hoy nos jugamos mucho en Canarias y en Europa. Necesitamos gobiernos fuertes y estables que garanticen un futuro de esperanza para nuestros hijos y nuestras hijas. Por eso, la participación tiene que ser masiva."
20302,@user182,male,politician,left,left,"Buen día. ¿Preparados para otra jornada en la que gente que se ve a sí misma como moderada y sensata os dirán, mañana, tarde y noche, que quienes califican a millones de personas de terroristas por ser antifas y quienes aprueban el IMV son lo mismo políticamente y crispan igual?"
28149,@user349,male,politician,right,moderate_right,Ha sido un placer recordar con @user los éxitos de España y del @user en estos años y mirar al futuro con optimismo. Encantado de encontrar a tantos compañeros en la Convención del [POLITICAL_PARTY]. #EspañaEnLibertad
48198,@user27,female,politician,left,moderate_left,Gracias a la solidaridad de la población de #Lanzarote más de 1.500 jóvenes de #GuineaEcuatorial podrán practicar...
26131,@user194,female,politician,left,moderate_left,"Es para mí un honor haber podido conocer el gran trabajo que realiza la Asociación de Obras Cristianas de #Gibraleón que dirige el padre Diego. Gracias a estas entidades hemos podido blindar la #Dependencia durante los años de crisis, y ahora es un derecho del que nadie duda ya."
33507,@user182,male,politician,left,left,"Lo que ha ocurrido en Linares es una absoluta vergüenza. La salvajada de ayer y la actuación represiva de la policía hoy. Imágenes que, por desgracia, no son nuevas. Policías que abusan de su autoridad y hacen un uso injustificable de la violencia. Marlaska debe dar explicaciones"
49927,@user142,male,politician,left,moderate_left,"Sevilla va a acelerar los proyectos para hacer una ciudad con más espacio para el peatón y la bici. Este verano arrancarán actuaciones como la primera fase de reordenación de la Ronda, el itinerario escolar del CEIP Pedro Garfias o el nuevo carril bici de Padre García Tejero"
36605,@user376,female,politician,left,moderate_left,El declive de @user lo vamos a sufrir desde el medio rural. Dicen una cosa y hacen la contraria. Dos ejemplos: 1- Dicen que no se cierran consultorios. MIENTEN. El propio Director de Planificación Sanitaria de la Junta anuncia que en los consultorios se dejará de atender.
34911,@user73,female,politician,right,moderate_right,"🔵 El Real Decreto-Ley sobre #ThomasCook aprobado por el Gobierno de #PedroSánchez es discriminatorio y no se ajusta a la realidad de #Canarias. Hemos hemos dado a conocer a @user la propuesta de @user, un paquete de medidas ajustado al marco económico y turístico canario"
2442,@user419,female,politician,left,moderate_left,Los diputados ⁦@user⁩ nos hemos reunido con ⁦@user⁩ para conocer sus propuestas en materia de #CambioClimatico #biodiversidad #AGUA #Residuos . Una reunión muy productiva
42320,@user128,female,politician,left,moderate_left,"Mi empeño en buscar soluciones de futuro, viables y en el marco europeo para la industria navarra y española es incansable. Para lograrlo necesitamos unos #PGE con los que gestionar los fondos de recuperación de la UE, como le he recordado a @user de UPN. Espero su apoyo."
3761,@user406,male,journalist,right,moderate_right,Ha muerto José Mari Calleja. Era mi amigo y siento su muerte en lo más hondo del corazón. DEP
44970,@user350,male,journalist,right,right,"Os contaría q casi nos cae un árbol encima ,que casi nos estrellamos y q podríamos haber fallecido d congelación pero me quedo con q podemos contar la aventura y q la gente es maravillosa!. pa la próxima haré caso al alcalde aunq solo sea porq ya no es la señora de las magdalenas"
42290,@user261,male,politician,left,left,¡¿Que Valls acogería el Open Arms?! Pero si en su CV como Primer Ministro destaca la vergüenza de deportar a una niña gitana de 15 años. Sus políticas discriminatorias no caben en la ciudad de derechos q estamos construyendo. ¡Que no nos engañe! #ColauValls
16833,@user391,male,politician,left,moderate_left,Personas con discapacidad intelectual de toda España reivindican sus derechos en el congreso de los diputados
6775,@user455,female,politician,left,moderate_left,"Un auténtico honor adquirir la condición plena como diputada de la #14Legislatura @user Una responsabilidad desde el más firme compromiso x la igualdad. Si además, desde esa condición política, eres gitana, se convierte en un poderoso desafío a 600 años de estigmas. 💙❤💚"
1937,@user195,male,politician,left,moderate_left,"Una mañana de frío. Una mañana de votar, una mañana de ilusión! #ahorasi [#POLITICAL_PARTY]"
1333,@user93,male,journalist,right,right,"Tan sólo era una pregunta retórica, @user; ya sé que el motivo real es que escribes en @user y te debes a tu jefa @user. Lo gracioso es que tu única respuesta a todos los que te están preguntando por esta incoherencia sea bloquearlos en Twitter. ¿Vas a responder?"
23730,@user407,male,politician,right,moderate_right,"⚫️ Antes de comenzar el #PlenoMurcia guardamos un minuto de silencio por todas las personas fallecidas a causa del Covid-19, en señal de respeto hacia ellas y hacia sus familiares. En estos momentos hay 51 fallecidos en el municipio, 130 en la Región y 24.275 en España."
5489,@user323,male,politician,left,moderate_left,"Cuando @user arrojando odio desde la tribuna del @user solo parece un juguete roto que trata de insultar a sus antagonistas de las peores maneras y no genera ni una reacción, es la mejor de las evidencias de que hemos emprendido el buen camino. #LaHoraDeLaDecencia"
23720,@user126,male,journalist,left,left,He leído que van a hacer 'Cómo conocía a vuestro padre' y creo que es lo más innecesario desde la invención del yogur de coco.
10695,@user274,female,politician,right,moderate_right,¿Le va a dar TVE1 otra hora a la oposición para que explique sus reparos al estado de alarma como ha hecho con el Gobierno para insistir en la teoría del “yo o el caos”? . #QueNoMientan . #ManipulaciónRTVE
13098,@user182,male,politician,left,left,"Con lo que estamos conociendo sobre Juan Carlos I otra vez, se me viene a la cabeza esta reflexión que hice recientemente en unas Jornadas organizadas por @user . España no podrá ser ejemplo de transparencia mientras la Casa Real siga siendo la institución más opaca que existe"
22700,@user239,female,politician,right,moderate_right,"En cinco minutos, @user desmonta la investidura vacía de Sánchez y su política de España. Deja claro su lealtad institucional, tendiendo la mano para pactos de Estado. Ofrece un proyecto ilusionante, con un [POLITICAL_PARTY] que siempre servirá a España. Casado, siempre, con España"
8064,@user1,male,politician,left,moderate_left,"La ventaja de ser el centro del poder económico por su capitalidad se ha convertido, tras 25 años de la derecha, en una brecha de desigualdad entre madrileños y con el resto de españoles. . Exaltación del individualismo y las políticas ultraliberales con sombra de corrupción."
21922,@user167,male,politician,left,moderate_left,Supongo que sabe lo que dice pero es evidente que no sabe de lo que habla este párroco de Lemoa. Vergonzante heredero de ese sector de la Iglesia católica que siempre comprendió a los terroristas y que nunca empatizó con quienes los sufrieron.
9097,@user189,male,journalist,left,moderate_left,El doble juego de Salazar en la IIGM ayudó a Franco a sobrevivir. La amistad inglesa con Portugal ayudó a Churchill a escabullirse llegada la hora de la verdad: tumbar al régimen español o darle un margen de supervivencia. . Portugal participó en la fundación de la OTAN en 1949.
18208,@user12,female,politician,right,right,La fiscalía dice que hay machismo en las señales de tráfico. TVE incide en que en esta señal se ve a una hombre llevando al colegio a una mujer “subordinada”; si fuera mujer criticarían que la mujer es siempre la cuidadora...La estupidez de los mantras de género no tienen límite!
11950,@user87,male,journalist,left,moderate_left,"Mucho mejor que los datos es poder trabajar (y aprender) con profesionales increíbles, que además cumplen con lo de Kapuscinsky. . GRACIAS por vernos #Madrid . 🔽 . Telemadrid cierra su mejor temporada en 8 años con récords en todos sus informativos"
16218,@user319,male,politician,right,right,"Pedimos la comparecencia urgente de la Ministra de AAEE para que nos informe sobre las actuaciones q el Gobierno va a realizar al objeto de q los comicios electorales de la República del Perú -todavía en curso-, se produzcan con total normalidad e inste a la UE a tomar medidas."
49768,@user17,male,politician,left,left,PREACUERDO PGE 2021. 1) Fin del control financiero a la Generalitat existente desde el 2015. 2) Prórroga de la moratoria para autónomos hasta marzo del 2021. 3) Liquidación de la deuda en Becas desde el 2005. 4) Creación grupo de trabajo para poner fin al dumping fiscal en Madrid
14038,@user397,female,politician,right,moderate_right,"🇪🇺 IVA de la luz en Europa:. 🇲🇹 Malta 5%. 🇬🇧 Reino Unido 5%. 🇫🇷 Francia 5'5%. 🇬🇷 Grecia 6%. 🇮🇹 Italia 10%. 🇭🇷 Croacia 13%. 🇮🇪 Irlanda 14%. 🇪🇺 UE (media) 18,2%. 🇩🇪 Alemania 19%. 🇪🇸 España 21%. España tiene una de las facturas más altas y el IVA 2’8 puntos por encima de la media de la UE."
2847,@user447,male,journalist,right,moderate_right,"@user Haciendo un buen caldo con el gallo, jaja."
23096,@user441,male,journalist,left,left,"Liberada una menor de 15 años en Carabanchel (Madrid) q estaba secuestrada por un individuo. La policía señala q lo q encontró fue ""dantesco"". Estaba amordazada fortísimamente. El cable le rodeaba por completo el cuerpo desde los pies hasta la cabeza. No podía ni cerrar los ojos."
6059,@user135,male,politician,right,moderate_right,"@user se queda solo en el banco azul para la interpelación sobre el Delcygate. Ni un ministro le acompaña, y son 22🤦🏻‍♂️! Acepto que el Gobierno cometa errores, pero no las mentiras, porque esas no son errores, son decisiones con intenciones."
3689,@user212,female,politician,left,left,"❗️Hay una campaña de la derecha con la que difunden que me he comprado un coche oficial: FALSO. El Ayuntamiento está renovando toda su flota de vehículos de ALQUILER para sustituirlos x coches eléctricos o híbridos, incluido el coche de seguridad de alcaldía. Basta de fake news!"
5496,@user262,male,politician,right,right,"Quiero agradecer a los del [POLITICAL_PARTY], [POLITICAL_PARTY], Ciudadanos y Podemos que decidieron sentar a parte de [POLITICAL_PARTY] en el gallinero del Congreso rodeados de [POLITICAL_PARTY], [POLITICAL_PARTY] y las [POLITICAL_PARTY]. Si querían amedrentarnos puedo decirles que NO lo han conseguido. Y que escuchamos muy de cerca las barbaridades de [POLITICAL_PARTY]."
45785,@user145,female,politician,left,left,Este hilo recoge las encendidas críticas de medios de comunicación y de Almeida a la medida de regulación de los peatones que se puso en marcha en 2017 para evitar aglomeraciones en las calles Preciados y Carmen. . Este año 2019 se aplican igual. . ¿Lo escuchan? Es el silencio 🤷🏻‍♀️
18201,@user49,male,politician,right,moderate_right,Enhorabuena a @user y al resto de concejales de [POLITICAL_PARTY] y [POLITICAL_PARTY]. Se puede y se debe acordar en beneficio de todos los ciudadanos. Ojalá este ejemplo sea posible en otras administraciones y podamos alejar el extremismo y el frentismo de la política española. 👏👏👏
40150,@user126,male,journalist,left,left,Lo leyó en el CIS.
48584,@user80,male,politician,left,moderate_left,El presidente @user pide unidad a la comunidad internacional y al gobierno libanés para hacer frente a la crisis económica y financiera del país. #España envía un cargamento de ayuda de emergencia a Líbano en respuesta a la petición de apoyo urgente de la Cruz Roja.
33089,@user404,male,journalist,left,moderate_left,La pedrada a la diputada de [POLITICAL_PARTY] es injustificable. Y es lo de siempre: unos ultras (los de la pedrada) dando argumentos a otros ultras (los de [POLITICAL_PARTY]). Se necesitan. . Y ahora vendrán a decir que soy 'equidistante'. No: estoy en un lado. En el del antifascismo y la antiviolencia
702,@user408,male,politician,right,moderate_right,"Vimos a Sánchez con un bonito fondo pero sin nada más porque presentó un plan de vacunación sin vacunas. Y a un ministro de Sanidad más preocupado de las encuestas de Cataluña que de las UCIS, que se ha ido de actos y mítines cuando no podemos abrazar a nuestros familiares."
31570,@user430,male,politician,right,moderate_right,"🏥El trasplantado de páncreas más reciente ha sido dado de alta. 🏥La divulgación con el permiso del paciente es una forma clara de aumentar la #concienciación, la #donación de #órganos y de ver los resultados de los #trasplantes. Merece la pena dedicarse a los demás. #HUC🏥🇮🇨"
25161,@user60,male,politician,left,moderate_left,"Si quienes se vienen arriba manipulando la defensa constitucional de la unidad de 🇪🇸, pusieran idéntica energía en defender el derecho a una 🏠 digna, en condenar la pederastia en el ámbito religioso o la violencia machista, o en la defensa del título VIII de la Constitución ..."
25312,@user402,male,politician,left,moderate_left,Así ha amanecido la sede socialista de Vilanova i la Geltrú. Seguiremos trabajando por generar un clima de respeto desde la firmeza en nuestras convicciones.
15120,@user3,male,politician,left,left,Centrémonos en perseguir el fraude de los pobres y sus ayudas. El fraude al fisco de los ricos no es tan urgente
25093,@user30,female,politician,left,moderate_left,"Hemos llegado a un gran acuerdo que protege el empleo y las prestaciones de 200.000 trabajadores turísticos de Balears, así como las bonificaciones a empresas de las cuotas a la SS. Reactivaremos el turismo cuando sea seguro y pedimos al Estado un plan específico para Balears."
6057,@user6,female,politician,right,moderate_right,"Es un desprecio a los ciudadanos que los que somos servidores públicos tengamos que dedicar tiempo a una moción de censura que es y resultará un fracaso, en vez de tramitar la ley que presentó el @user de protección de la salud tan necesaria para luchar contra la pandemia."
30111,@user452,male,journalist,left,left,"Se estará de acuerdo o en contra, pero el odio y el linchamiento mediático al que esta sometido @user , por los medios conservadores de este país, nunca lo había visto y pone en entredicho cierto periodismo. ¡ Me preocupa!"
19247,@user220,male,politician,left,moderate_left,La OCDE acaba de actualizar sus datos sobre test de diagnóstico COVID-19. España está entre los 10 principales países en pruebas. Esta capacidad de prueba es importante para las estrategias de desconfinación y para reducir los riesgos de nuevos brotes.
37857,@user201,female,politician,left,left,"Y como era de esperar, Ayuso ha seguido quitando el dinero de las guardias de l@s médic@s por las 37,5h sabiendo que hacemos más de 50h. Una medida ""excepcional"" que puso Lasquetty en el 2012 y que Ayuso mantiene durante la peor crisis sanitaria siendo la única CCAA que lo hace"
26704,@user217,male,politician,left,moderate_left,"«El futuro va a depender de lo que hagamos en el presente, con el objetivo puesto en el turismo de calidad y cosmopolita, pero respetando las diferencias en la oferta de las diferentes regiones españolas». Resumen de mi intervención de ayer en @user"
35067,@user389,female,politician,right,right,"Doble vara de medir. . Ellos nos insultan y no pasa nada. Nos agreden en las calles no pasa nada, decimos verdades incontestables y tenemos que retirarlas. ¿Pero ésto qué es?. La #dictaduraprogre llegó al @user . . A @user que nos insulta y blasfema si se lo permiten."
47474,@user448,male,politician,right,right,"@user Mi colega cogió el virus en Logroño y las manifestaciones fueron en toda clase de barrios. Y el voto de [POLITICAL_PARTY] es más frecuente en los barrios obreros que en los residenciales. Y si hay dialéctica de clases y los ricos (Gates, Roures, Iglesias etc) son los que imponen su ideología"
18210,@user83,female,politician,right,right,"Sr. Ministro, “no podemos permitir....”, y qué va hacer su des-gobierno en funciones al respecto? Qué va a hacer para evitar ese control ideológico en las universidades catalanas?"
16327,@user434,female,politician,right,moderate_right,TC tumba el decreto ley de integración de Clases Pasivas en la Seguridad Social. Da la razón al Recurso del [POLITICAL_PARTY]
14408,@user24,female,politician,right,right,¿Es viable el programa económico de Carmena?
18745,@user25,male,politician,right,right,"Hoy @user ha dicho en directo que un Diputado del [POLITICAL_PARTY] le ha llamado ¡porque se ha dado cuenta que en España no hay igualdad de trato entre las regiones!A cuento del corredor sanitario de Canarias. Que se pase a [POLITICAL_PARTY]. O que lea nuestras iniciativas, don Carlos"
47972,@user455,female,politician,left,moderate_left,"Calificar, a los gitanos andaluces como ""lo más elevado, lo más profundo y lo más aristocrático de mi país"", suponía, sin duda, jugarse la vida. El poeta, cuya obra es indesligable a la cultura #gitana. 85 años sin Lorca. Asesinado por el fascismo un 18 de agosto. #LorcaVive"
38187,@user439,female,politician,left,left,"Esta mañana hemos ido a la Fiscalía Anticorrupción a denunciar que la empresa que gestiona el centro de menores Teresa de Calcuta,GINSO, forma parte de un entramado de empresas que han operado para la financiación ilegal del [POLITICAL_PARTY] mucho tiempo y que aparecen en Púnica, Lezo, y Pujol"
31491,@user344,male,politician,left,left,"Santiago Abascal pretende meterse conmigo en el día de hoy. Le iba a responder, pero, Don Jose Antonio @user, le ha dado un zasca tan grande que se hubiera escuchado en todo el Imperio español, ese en el que nunca se ponía el sol. Pa que tú lo entiendas, Santi, picha. 😂😂"
46703,@user3,male,politician,left,left,"Con el debido respeto, señor Bergoglio, pero el catecismo de la iglesia católica actualmente en vigor dice que los ateos estamos condenados al infierno eterno. Copio las palabras exactas:. 1034 Jesús..."
34016,@user31,male,politician,right,moderate_right,"Lukashenko en declaraciones en la TV: ""no salgan a la calle. Te usan a ti. Han venido de Polonia, Holanda, Ucrania... Han comenzado una agresión contra el país"". Trabajadores de la famosa fábrica TMZ se han sumado a la huelga y las protestas. También los trabajadores del metro."
46039,@user201,female,politician,left,left,"No como la Comunidad de Madrid, con el mayor foco de la epidemia, que da datos y ruedas de prensa cada 20 días. La primera reunión con los portavoces de sanidad fue el 2 de marzo con 30 casos y la segunda el 3 de abril con 35.000. Entre medias...la nada"
20228,@user218,male,politician,left,left,"“Y me hablaron de futuros. fraternales, solidarios,. donde todo lo falsario. acabaría en el pilón. Y ahora que se cae el muro. ya no somos tan iguales,. tanto vendes, tanto vales,. ¡viva la revolución!”. Gracias por tanta belleza, Aute. Te echaremos de menos."
30580,@user289,male,politician,left,moderate_left,"Ante la petición de mucha gente que está en #Cantabria y quiere verme y hacerse una foto; el próximo domingo 19, estaré desde las 9 de la mañana, en mi despacho, hasta las 13h atendiéndoles (Calle Peña Herbosa 29, junto a Puerto Chico). Puertas abiertas"
9241,@user448,male,politician,right,right,"Rufián está monotemático: obsesionado con los obreros que votan a [POLITICAL_PARTY] “en contra de sus intereses”, dice. No majo, es en contra de TUS intereses y los de las oligarquías racistas y anti obreras pancatalanisras."
43120,@user92,female,journalist,left,left,"Corrección del titular: Reino Unido alerta de la posibilidad ""real"" de una nueva variante de COVID-19 que podría tener una tasa de mortalidad del 35%"
20630,@user66,female,politician,right,right,"Gracias [POLITICAL_PARTY] por mostrar lo que el duopolio (por 15Millones) oculta a los españoles. . Que España, está de LUTO. Que aunque haya “un ligero descenso en el incremento”, lo que hay es un INCREMENTO. Que lo de la Gran Vía es alegórico, pero que a los progres les moleste, es REAL."
27400,@user271,male,politician,left,left,"Quien no se mueve no siente las cadenas, decía Rosa Luxemburgo. Y los #Riders se mueven y mucho!. Hoy damos un paso necesario para empezar a poner freno a un mecanismo que precariza y explota a miles de trabajadores y trabajadoras. #LeyRider"
42619,@user336,male,politician,right,moderate_right,"🚄No vamos a aceptar recortes en @user, ni en el número de trenes que venían circulando, ni en el número de trabajadores que venían desarrollando los Servicios a Bordo. 🔴 Exigimos al Gobierno la recuperación del 100% de la oferta que existía hasta el estado de alarma‼️"
40299,@user157,female,politician,right,moderate_right,“Del no se podía saber al no se podía decir.” @user. Magistral. . No hay mayor antifeminismo que llevar a miles de mujeres al contagio aseguradoel #8M. . “Viva las mujeres que se preocupan de otras mujeres aunque se le vaya la foto en ello”. . ¿Qué igualdad practican?
49315,@user86,female,politician,right,moderate_right,"Leo el comunicado del [POLITICAL_PARTY] sobre la reunión con [POLITICAL_PARTY] y no salgo de mi asombro. . La sedición es una ilegalidad manifiesta juzgada y condenada por la Justicia. El [POLITICAL_PARTY] está compartiendo mesa y mantel con los que quieren destrozar nuestro país. . Suena fuerte, pero es la realidad."
48923,@user359,male,politician,left,left,“Se ha escrito un crimen” era la serie favorita de mis abuelas. Yo no la soportaba; me desesperaba que Jessica Fletcher metiera sus narices en todo. Hoy me conmueve ver que la gran Angela Lansbury cumple 95. Cómo echo de menos ver a la Fletcher con mis abuelas 😥 Felicidades
25619,@user405,female,politician,left,moderate_left,@user @user en Comisión de Sanidad “hay dos partidos [POLITICAL_PARTY]-[POLITICAL_PARTY]: el que lucha contra el Gobierno de España y el que lucha contra el virus #COVID19” #EnMarchaTodosUnidos @user
20650,@user376,female,politician,left,moderate_left,"Van a tener muy difícil explicar desde Ciudadanos que pretendían dejar sin permisos de #paternidad a miles de españoles. Más difícil todavía que se entienda que no se preparan los temas, que son bastante vagos y sólo sensacionalistas."
20414,@user213,female,politician,left,moderate_left,"He intentado contestar a todas las personas que me habéis escrito por las RRSS pero me temo que es imposible. Simplemente: GRACIAS. . Hemos hecho que pase, y es algo tan grande que prometo dejarme la piel en estar a la altura. /♥️"
22644,@user272,male,journalist,right,right,"@user Le cuento: empecé escribiendo poemas en cuaderna vía, remedando el castellano medieval, así que me puse un seudónimo que pareciera de un fraile del siglo XIII."
41357,@user385,female,politician,left,left,"Dijimos que las cosas difíciles no se consiguen a la primera, pero persistimos y hoy España tiene el primer gobierno de coalición progresista y de izquierdas. Por la justicia social, por un país feminista que acabe con el machismo y cuide a las y los más débiles . #SíSePuede"
14206,@user112,female,politician,right,moderate_right,"La ministra de Trabajo no se aclara, dice primero que son 620.000 solicitudes de ERTEs y después que son 620.000 trabajadores afectados por los ERTEs. Reprocha a los periodistas que no la entiendan. Y eso que las preguntas no son en directo y están filtradas. Nueva política!"
17501,@user239,female,politician,right,moderate_right,Gracias a @user y a su presidente @user por la invitación. [#POLITICAL_PARTY] un día más cerca de ganar las elecciones @user
13187,@user331,male,politician,left,moderate_left,¿Nos van a dar lecciones de con quién se puede hablar y con quién no?. ¿El [POLITICAL_PARTY]? ¿Mientras pacta gobiernos con #ultras que. 👉Desprotegen a las mujeres de sus maltratadores . 👉Insultan a los hijos de familias monoparentales. 👉Criminalizan niños inmigrantes?. #VaASerQueNo
